name,pic,quote,ranking,score,score_num,star,subject
我不是药神,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,对我们国家而言，这样的电影多一部是一部。,33,9.0,2121458,rating45-t,https://movie.douban.com/subject/26752088/
乱世佳人,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,Tomorrow is another day.,34,9.3,696782,rating45-t,https://movie.douban.com/subject/1300267/
飞屋环游记,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896589700.jpg,最后那些最无聊的事情，才是最值得怀念的。,35,9.1,1336100,rating45-t,https://movie.douban.com/subject/2129039/
素媛,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,36,9.3,691964,rating45-t,https://movie.douban.com/subject/21937452/
哈尔的移动城堡,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,带着心爱的人在天空飞翔。,37,9.1,1034606,rating45-t,https://movie.douban.com/subject/1308807/
十二怒汉,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,1957年的理想主义。,38,9.4,495131,rating45-t,https://movie.douban.com/subject/1293182/
何以为家,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,凝视卑弱生命，用电影改变命运。,39,9.1,1052285,rating45-t,https://movie.douban.com/subject/30170448/
摔跤吧！爸爸,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,40,9.0,1580448,rating45-t,https://movie.douban.com/subject/26387939/
让子弹飞,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,你给我翻译翻译，神马叫做TMD的惊喜。,41,9.0,1711896,rating45-t,https://movie.douban.com/subject/3742360/
天空之城,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2892380420.jpg,对天空的追逐，永不停止。,42,9.2,881330,rating45-t,https://movie.douban.com/subject/1291583/
猫鼠游戏,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,骗子大师和执著警探的你追我跑故事。,43,9.1,1035222,rating45-t,https://movie.douban.com/subject/1305487/
鬼子来了,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p776573640.jpg,对敌人的仁慈，就是对自己残忍。,44,9.3,631338,rating45-t,https://movie.douban.com/subject/1291858/
少年派的奇幻漂流,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896590696.jpg,瑰丽壮观、无人能及的冒险之旅。,45,9.1,1357564,rating45-t,https://movie.douban.com/subject/1929463/
海蒂和爷爷,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,46,9.3,621955,rating45-t,https://movie.douban.com/subject/25958717/
钢琴家,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1381339291.jpg,音乐能化解仇恨。,47,9.3,646114,rating45-t,https://movie.douban.com/subject/1296736/
大话西游之月光宝盒,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,旷古烁今。,48,9.0,1229655,rating45-t,https://movie.douban.com/subject/1299398/
